source_path,source_format,extraction_path_old_archive,status,basis,engine,characters,manifest
2026/SAT  REVAMP — MARCH 2026/SCALAR_ANGULAR_TORSION___PHYS_D_FINAL-5.pdf,pdf,_AUTO_EXTRACTED_TEXT/SCALAR_ANGULAR_TORSION___PHYS_D_FINAL-5.txt,LEGACY_NAME_MATCH,legacy-basename-unique,,,
2026/SAT  REVAMP — MARCH 2026/SCALAR_ANGULAR_TORSION___PHYS_D_FINAL-6.pdf,pdf,_AUTO_EXTRACTED_TEXT/SCALAR_ANGULAR_TORSION___PHYS_D_FINAL-6.txt,LEGACY_NAME_MATCH,legacy-basename-unique,,,
2026/SAT  REVAMP — MARCH 2026/SCALAR_ANGULAR_TORSION___PHYS_D_FINAL-7.pdf,pdf,_AUTO_EXTRACTED_TEXT/SCALAR_ANGULAR_TORSION___PHYS_D_FINAL-7.txt,LEGACY_NAME_MATCH,legacy-basename-unique,,,
2026/SAT  REVAMP — MARCH 2026/SCALAR_ANGULAR_TORSION___PHYS_D_FINAL-8.pdf,pdf,_AUTO_EXTRACTED_TEXT/SCALAR_ANGULAR_TORSION___PHYS_D_FINAL-8.txt,LEGACY_NAME_MATCH,legacy-basename-unique,,,
2026/SAT  REVAMP — MARCH 2026/SCALAR_ANGULAR_TORSION___PHYS_D_FINAL-9.pdf,pdf,_AUTO_EXTRACTED_TEXT/SCALAR_ANGULAR_TORSION___PHYS_D_FINAL-9.txt,LEGACY_NAME_MATCH,legacy-basename-unique,,,
2026/SAT  REVAMP — MARCH 2026/SCALAR_ANGULAR_TORSION___PHYS_D_FINAL.pdf,pdf,_AUTO_EXTRACTED_TEXT/SCALAR_ANGULAR_TORSION___PHYS_D_FINAL.txt,LEGACY_NAME_MATCH,legacy-basename-unique,,,
25 SAT VERSIONS.pdf,pdf,_AUTO_EXTRACTED_TEXT/25 SAT VERSIONS.txt,OK,manifest-exact,PyMuPDF,235349,_AUTO_EXTRACTED_TEXT/_manifests/2026-09-10_root_pdf_extraction_pass_002.json
2PHYS_REV_D_V_1_Submission.pdf,pdf,_AUTO_EXTRACTED_TEXT/2PHYS_REV_D_V_1_Submission.txt,OK,manifest-exact,PyMuPDF,2917,_AUTO_EXTRACTED_TEXT/_manifests/2026-09-10_root_pdf_extraction_pass_002.json
3PHYS_REV_D_V_1_Submission.pdf,pdf,_AUTO_EXTRACTED_TEXT/3PHYS_REV_D_V_1_Submission.txt,OK,manifest-exact,PyMuPDF,1865,_AUTO_EXTRACTED_TEXT/_manifests/2026-09-10_root_pdf_extraction_pass_002.json
4DHH LAGRANGIAN (nolat).pdf,pdf,_AUTO_EXTRACTED_TEXT/4DHH LAGRANGIAN (nolat).txt,OK,manifest-exact,PyMuPDF,42487,_AUTO_EXTRACTED_TEXT/_manifests/2026-09-10_root_pdf_extraction_pass_002.json
4PHYS_REV_D_V_1_Submission.pdf,pdf,_AUTO_EXTRACTED_TEXT/4PHYS_REV_D_V_1_Submission.txt,OK,manifest-exact,PyMuPDF,3633,_AUTO_EXTRACTED_TEXT/_manifests/2026-09-10_root_pdf_extraction_pass_002.json
Audit Code Package Construction Guide.pdf,pdf,_AUTO_EXTRACTED_TEXT/Audit Code Package Construction Guide.txt,OK,manifest-exact,PyMuPDF,17600,_AUTO_EXTRACTED_TEXT/_manifests/2026-09-10_root_pdf_extraction_pass_002.json
BARYGENESIS (nolat).pdf,pdf,_AUTO_EXTRACTED_TEXT/BARYGENESIS (nolat).txt,OK,manifest-exact,PyMuPDF,62975,_AUTO_EXTRACTED_TEXT/_manifests/2026-09-10_root_pdf_extraction_pass_002.json
BIG PAPER 5 SAT_DATA_FITS.pdf,pdf,_AUTO_EXTRACTED_TEXT/BIG PAPER 5 SAT_DATA_FITS.txt,OK,manifest-exact,PyMuPDF,11050,_AUTO_EXTRACTED_TEXT/_manifests/2026-09-10_root_pdf_extraction_pass_002.json
BOSONIC_SATOBLOC.pdf,pdf,_AUTO_EXTRACTED_TEXT/BOSONIC_SATOBLOC.txt,OK,manifest-exact,PyMuPDF,32490,_AUTO_EXTRACTED_TEXT/_manifests/2026-09-10_root_pdf_extraction_pass_002.json
BOSONIC_TIME.pdf,pdf,_AUTO_EXTRACTED_TEXT/BOSONIC_TIME.txt,OK,manifest-exact,PyMuPDF,10513,_AUTO_EXTRACTED_TEXT/_manifests/2026-09-10_root_pdf_extraction_pass_002.json
CODE OUTPUT/Early_Code_Outputs_Documented.pdf,pdf,_AUTO_EXTRACTED_TEXT/Early_Code_Outputs_Documented.txt,LEGACY_NAME_MATCH,legacy-basename-unique,,,
COLLECTIVE ATTENUATION AND OTHER SOLUTIONS TO ANOMALIES (nolat).pdf,pdf,_AUTO_EXTRACTED_TEXT/COLLECTIVE ATTENUATION AND OTHER SOLUTIONS TO ANOMALIES (nolat).txt,OK,manifest-exact,PyMuPDF,9566,_AUTO_EXTRACTED_TEXT/_manifests/2026-09-10_root_pdf_extraction_pass_002.json
CONSENSUS PRO/ConsensusPro_Annotated_Captions_Cleaned.pdf,pdf,_AUTO_EXTRACTED_TEXT/ConsensusPro_Annotated_Captions_Cleaned.txt,LEGACY_NAME_MATCH,legacy-basename-unique,,,
CORE PACK 2.pdf,pdf,_AUTO_EXTRACTED_TEXT/CORE PACK 2.txt,OK,manifest-exact,PyMuPDF,2466,_AUTO_EXTRACTED_TEXT/_manifests/2026-09-10_root_pdf_extraction_pass_002.json
CORE PACK.pdf,pdf,_AUTO_EXTRACTED_TEXT/CORE PACK.txt,OK,manifest-exact,PyMuPDF,2466,_AUTO_EXTRACTED_TEXT/_manifests/2026-09-10_root_pdf_extraction_pass_002.json
Cauliflower_Worlds.pdf,pdf,_AUTO_EXTRACTED_TEXT/Cauliflower_Worlds.txt,OK,manifest-exact,PyMuPDF,4014,_AUTO_EXTRACTED_TEXT/_manifests/2026-09-10_root_pdf_extraction_pass_002.json
Consciousness_of_AI.pdf,pdf,_AUTO_EXTRACTED_TEXT/Consciousness_of_AI.txt,OK,manifest-exact,PyMuPDF,13120,_AUTO_EXTRACTED_TEXT/_manifests/2026-09-10_root_pdf_extraction_pass_002.json
ConsensusPro_Annotated_Captions_Cleaned.pdf,pdf,_AUTO_EXTRACTED_TEXT/ConsensusPro_Annotated_Captions_Cleaned.txt,OK,manifest-exact,PyMuPDF,1374,_AUTO_EXTRACTED_TEXT/_manifests/2026-09-10_root_pdf_extraction_pass_002.json
DERIVATIVE INDICATRIX (nolat).pdf,pdf,_AUTO_EXTRACTED_TEXT/DERIVATIVE INDICATRIX (nolat).txt,OK,manifest-exact,PyMuPDF,14005,_AUTO_EXTRACTED_TEXT/_manifests/2026-09-10_root_pdf_extraction_pass_002.json
DIMENSIONAL_NORMALIZATION.pdf,pdf,_AUTO_EXTRACTED_TEXT/DIMENSIONAL_NORMALIZATION.txt,OK,manifest-exact,PyMuPDF,19846,_AUTO_EXTRACTED_TEXT/_manifests/2026-09-10_root_pdf_extraction_pass_002.json
EARLY LOGGED/SAT_CLEAN.pdf,pdf,_AUTO_EXTRACTED_TEXT/SAT_CLEAN.txt,LEGACY_NAME_MATCH,legacy-basename-unique,,,
Early Misc/GPT_Tools_and_SAT-Naive_Analysis_Captions_FINAL_SAFE.pdf,pdf,_AUTO_EXTRACTED_TEXT/GPT_Tools_and_SAT-Naive_Analysis_Captions_FINAL_SAFE.txt,LEGACY_NAME_MATCH,legacy-basename-unique,,,
Early Misc/LAB2_SAT_Dirac_Brackets_And_Closure_3D.pdf,pdf,_AUTO_EXTRACTED_TEXT/LAB2_SAT_Dirac_Brackets_And_Closure_3D.txt,LEGACY_NAME_MATCH,legacy-basename-unique,,,
Early Misc/Theorizer_Emeritus_SAT_Development_Annotated.pdf,pdf,_AUTO_EXTRACTED_TEXT/Theorizer_Emeritus_SAT_Development_Annotated.txt,LEGACY_NAME_MATCH,legacy-basename-unique,,,
Early Misc/Wavefront_BrainTrust_Captioned.pdf,pdf,_AUTO_EXTRACTED_TEXT/Wavefront_BrainTrust_Captioned.txt,LEGACY_NAME_MATCH,legacy-basename-unique,,,
Early_Code_Outputs_Documented.pdf,pdf,_AUTO_EXTRACTED_TEXT/Early_Code_Outputs_Documented.txt,OK,manifest-exact,PyMuPDF,1158,_AUTO_EXTRACTED_TEXT/_manifests/2026-09-10_root_pdf_extraction_pass_002.json
